english_term,kannada_term,avoid_transliteration
patent,ಸ್ವಾಮ್ಯ ಹಕ್ಕು,ಪೇಟೆಂಟ್
claims,ಹಕ್ಕುಗಳು,ಕ್ಲೈಮ್ಸ್
prior art,ಪೂರ್ವ ಕಲೆ,ಪ್ರಯರ್ ಆರ್ಟ್
invention,ಆವಿಷ್ಕಾರ,ಇನ್ವೆನ್ಷನ್
specification,ವಿವರಣೆ,ಸ್ಪೆಸಿಫಿಕೇಶನ್
embodiment,ಮೂರ್ತರೂಪ,ಎಂಬಾಡಿಮೆಂಟ್
applicant,ಅರ್ಜಿದಾರ,ಅಪ್ಲಿಕೆಂಟ್
abstract,ಸಾರಾಂಶ,ಅಬ್ಸ್ಟ್ರಾಕ್ಟ್
comprising,ಒಳಗೊಂಡಿರುವ,ಕಂಪ್ರೈಸಿಂಗ್
wherein,ಇದರಲ್ಲಿ,ವೇರಿನ್
method,ವಿಧಾನ,ಮೆಥಡ್
apparatus,ಉಪಕರಣ,ಅಪ್ಯಾರೇಟಸ್
device,ಸಾಧನ,ಡಿವೈಸ್
system,ವ್ಯವಸ್ಥೆ,ಸಿಸ್ಟಮ್
process,ಪ್ರಕ್ರಿಯೆ,ಪ್ರಾಸೆಸ್
filing date,ಸಲ್ಲಿಕೆ ದಿನಾಂಕ,ಫೈಲಿಂಗ್ ಡೇಟ್
priority date,ಆದ್ಯತೆ ದಿನಾಂಕ,ಪ್ರಯಾರಿಟಿ ಡೇಟ್
